"site_id","year","FFD"
"X004d",1999,44.75138122
"X004d",2000,38.46153846
"X004d",2001,48.06629834
"X004d",2002,54.14364641
"X004d",2003,34.80662983
"X004d",2004,37.91208791
"X004d",2005,40.8839779
"X004d",2006,40.8839779
"X004d",2007,43.64640884
"X004d",2008,60.43956044
"X004d",2009,61.32596685
"X004d",2010,38.67403315
"X004d",2011,56.90607735
"X004d",2012,58.24175824
"X004d",2013,44.19889503
"X004d",2014,45.85635359
"X004d",2015,40.8839779
"X004d",2016,32.41758242
"X004d",2017,49.17127072
"X004d",2018,50.27624309
"X011a",1951,32.59668508
"X011a",1952,33.51648352
"X011a",1953,11.60220994
"X011a",1954,24.30939227
"X011a",1955,25.41436464
"X011a",1956,36.81318681
"X011a",1957,38.67403315
"X011a",1958,7.73480663
"X011a",1959,23.20441989
"X011a",1960,31.31868132
"X011a",1961,12.70718232
"X011a",1962,28.17679558
"X011a",1963,14.91712707
"X011a",1964,13.73626374
"X011a",1965,32.59668508
"X011a",1966,22.6519337
"X011a",1967,18.2320442
"X011a",1968,23.07692308
"X011a",1969,40.33149171
"X011a",1970,14.91712707
"X011a",1971,33.14917127
"X011a",1972,40.10989011
"X011a",1973,25.96685083
"X011a",1974,24.30939227
"X011a",1975,26.51933702
"X011a",1976,30.76923077
"X011a",1977,18.2320442
"X011a",1978,32.59668508
"X011a",1979,28.17679558
"X011a",1980,23.07692308
"X011a",1981,12.15469613
"X011a",1982,24.30939227
"X011a",1983,13.8121547
"X011a",1984,19.78021978
"X011a",1985,25.41436464
"X011a",1986,25.96685083
"X011a",1987,8.839779006
"X011a",1988,8.241758242
"X011a",1989,22.6519337
"X011a",1990,17.67955801
"X011a",1991,24.86187845
"X011a",1992,4.945054945
"X011a",1993,27.0718232
"X011a",1994,14.91712707
"X011a",1995,28.17679558
"X011a",1996,35.16483516
"X011a",1997,41.98895028
"X011a",1998,24.30939227
"X011a",1999,25.41436464
"X011a",2000,24.72527473
"X011a",2001,35.91160221
"X011a",2002,33.14917127
"X011a",2003,17.67955801
"X011a",2004,24.17582418
"X011a",2005,25.41436464
"X011a",2006,24.30939227
"X011a",2007,30.38674033
"X011a",2008,36.81318681
"X011a",2009,39.22651934
"X011a",2010,19.33701657
"X011a",2011,32.0441989
"X011a",2012,26.92307692
"X011a",2013,12.15469613
"X011a",2014,20.99447514
"X011a",2015,13.8121547
"X011a",2016,16.48351648
"X011a",2017,35.35911602
"X011a",2018,27.0718232
"X011c",1951,32.59668508
"X011c",1952,33.51648352
"X011c",1953,11.60220994
"X011c",1954,24.30939227
"X011c",1955,25.41436464
"X011c",1956,36.81318681
"X011c",1957,38.67403315
"X011c",1958,7.73480663
"X011c",1959,23.20441989
"X011c",1960,31.31868132
"X011c",1961,12.70718232
"X011c",1962,28.17679558
"X011c",1963,14.91712707
"X011c",1964,13.73626374
"X011c",1965,32.59668508
"X011c",1966,22.6519337
"X011c",1967,18.2320442
"X011c",1968,23.07692308
"X011c",1969,40.33149171
"X011c",1970,14.91712707
"X011c",1971,33.14917127
"X011c",1972,40.10989011
"X011c",1973,25.96685083
"X011c",1974,24.30939227
"X011c",1975,26.51933702
"X011c",1976,30.76923077
"X011c",1977,18.2320442
"X011c",1978,32.59668508
"X011c",1979,28.17679558
"X011c",1980,23.07692308
"X011c",1981,12.15469613
"X011c",1982,24.30939227
"X011c",1983,13.8121547
"X011c",1984,19.78021978
"X011c",1985,25.41436464
"X011c",1986,25.96685083
"X011c",1987,8.839779006
"X011c",1988,8.241758242
"X011c",1989,22.6519337
"X011c",1990,17.67955801
"X011c",1991,24.86187845
"X011c",1992,4.945054945
"X011c",1993,27.0718232
"X011c",1994,14.91712707
"X011c",1995,28.17679558
"X011c",1996,35.16483516
"X011c",1997,41.98895028
"X011c",1998,24.30939227
"X011c",1999,25.41436464
"X011c",2000,24.72527473
"X011c",2001,35.91160221
"X011c",2002,33.14917127
"X011c",2003,17.67955801
"X011c",2004,24.17582418
"X011c",2005,25.41436464
"X011c",2006,24.30939227
"X011c",2007,30.38674033
"X011c",2008,36.81318681
"X011c",2009,39.22651934
"X011c",2010,19.33701657
"X011c",2011,32.0441989
"X011c",2012,26.92307692
"X011c",2013,12.15469613
"X011c",2014,20.99447514
"X011c",2015,13.8121547
"X011c",2016,16.48351648
"X011c",2017,35.35911602
"X011c",2018,27.0718232
"X011b",1951,32.59668508
"X011b",1952,33.51648352
"X011b",1953,11.60220994
"X011b",1954,24.30939227
"X011b",1955,25.41436464
"X011b",1956,36.81318681
"X011b",1957,38.67403315
"X011b",1958,7.73480663
"X011b",1959,23.20441989
"X011b",1960,31.31868132
"X011b",1961,12.70718232
"X011b",1962,28.17679558
"X011b",1963,14.91712707
"X011b",1964,13.73626374
"X011b",1965,32.59668508
"X011b",1966,22.6519337
"X011b",1967,18.2320442
"X011b",1968,23.07692308
"X011b",1969,40.33149171
"X011b",1970,14.91712707
"X011b",1971,33.14917127
"X011b",1972,40.10989011
