"site_id","year","FFD"
"X011c",2001,35.91160221
"X011c",2002,33.14917127
"X011c",2003,17.67955801
"X011c",2004,24.17582418
"X011c",2005,25.41436464
"X011c",2006,24.30939227
"X011c",2007,30.38674033
"X011c",2008,36.81318681
"X011c",2009,39.22651934
"X011c",2010,19.33701657
"X011c",2011,32.0441989
"X011c",2012,26.92307692
"X011c",2013,12.15469613
"X011c",2014,20.99447514
"X011c",2015,13.8121547
"X011c",2016,16.48351648
"X011c",2017,35.35911602
"X011c",2018,27.0718232
"X012b",1951,32.59668508
"X012b",1952,33.51648352
"X012b",1953,11.60220994
"X012b",1954,24.30939227
"X012b",1955,25.41436464
"X012b",1956,36.81318681
"X012b",1957,38.67403315
"X012b",1958,7.73480663
"X012b",1959,23.20441989
"X012b",1960,31.31868132
"X012b",1961,12.70718232
"X012b",1962,28.17679558
"X012b",1963,14.91712707
"X012b",1964,13.73626374
"X012b",1965,32.59668508
"X012b",1966,22.6519337
"X012b",1967,18.2320442
"X012b",1968,23.07692308
"X012b",1969,40.33149171
"X012b",1970,14.91712707
"X012b",1971,33.14917127
"X012b",1972,40.10989011
"X012b",1973,25.96685083
"X012b",1974,24.30939227
"X012b",1975,26.51933702
"X012b",1976,30.76923077
"X012b",1977,18.2320442
"X012b",1978,32.59668508
"X012b",1979,28.17679558
"X012b",1980,23.07692308
"X012b",1981,12.15469613
"X012b",1982,24.30939227
"X012b",1983,13.8121547
"X012b",1984,19.78021978
"X012b",1985,25.41436464
"X012b",1986,25.96685083
"X012b",1987,8.839779006
"X012b",1988,8.241758242
"X012b",1989,22.6519337
"X012b",1990,17.67955801
"X012b",1991,24.86187845
"X012b",1992,4.945054945
"X012b",1993,27.0718232
"X012b",1994,14.91712707
"X012b",1995,28.17679558
"X012b",1996,35.16483516
"X012b",1997,41.98895028
"X012b",1998,24.30939227
"X012b",1999,25.41436464
"X012b",2000,24.72527473
"X012b",2001,35.91160221
"X012b",2002,33.14917127
"X012b",2003,17.67955801
"X012b",2004,24.17582418
"X012b",2005,25.41436464
"X012b",2006,24.30939227
"X012b",2007,30.38674033
"X012b",2008,36.81318681
"X012b",2009,39.22651934
"X012b",2010,19.33701657
"X012b",2011,32.0441989
"X012b",2012,26.92307692
"X012b",2013,12.15469613
"X012b",2014,20.99447514
"X012b",2015,13.8121547
"X012b",2016,16.48351648
"X012b",2017,35.35911602
"X012b",2018,27.0718232
